date,location,total_sqft,bhk,bath,price
2022-11-01,Kukatpally,1000,2,1,2500000
2022-12-01,Madhapur,1200,2,2,4750000
2022-12-01,Gachibowli,1500,3,2,5350000
2022-12-01,Jubilee Hills,2000,4,3,12100000
2022-12-01,Kukatpally,1000,2,1,2550000
2023-01-01,Madhapur,1200,2,2,4800000
2023-01-01,Gachibowli,1500,3,2,5400000
2023-01-01,Jubilee Hills,2000,4,3,12200000
2023-01-01,Kukatpally,1000,2,1,2600000
2023-02-01,Madhapur,1200,2,2,4850000
2023-02-01,Gachibowli,1500,3,2,5450000
2023-02-01,Jubilee Hills,2000,4,3,12300000
2023-02-01,Kukatpally,1000,2,1,2650000
2023-03-01,Madhapur,1200,2,2,4900000
2023-03-01,Gachibowli,1500,3,2,5500000
2023-03-01,Jubilee Hills,2000,4,3,12400000
2023-03-01,Kukatpally,1000,2,1,2700000
2023-04-01,Madhapur,1200,2,2,4950000
2023-04-01,Gachibowli,1500,3,2,5550000
2023-04-01,Jubilee Hills,2000,4,3,12500000
2023-04-01,Kukatpally,1000,2,1,2750000
2023-05-01,Madhapur,1200,2,2,5000000
2023-05-01,Gachibowli,1500,3,2,5600000
2023-05-01,Jubilee Hills,2000,4,3,12600000
2023-05-01,Kukatpally,1000,2,1,2800000
2023-06-01,Madhapur,1200,2,2,5050000
2023-06-01,Gachibowli,1500,3,2,5650000
2023-06-01,Jubilee Hills,2000,4,3,12700000
2023-06-01,Kukatpally,1000,2,1,2850000
2023-07-01,Madhapur,1200,2,2,5100000
2023-07-01,Gachibowli,1500,3,2,5700000
2023-07-01,Jubilee Hills,2000,4,3,12800000
2023-07-01,Kukatpally,1000,2,1,2900000
2023-08-01,Madhapur,1200,2,2,5150000
2023-08-01,Gachibowli,1500,3,2,5750000
2023-08-01,Jubilee Hills,2000,4,3,12900000
2023-08-01,Kukatpally,1000,2,1,2950000
2023-09-01,Madhapur,1200,2,2,5200000
2023-09-01,Gachibowli,1500,3,2,5800000
2023-09-01,Jubilee Hills,2000,4,3,13000000
2023-09-01,Kukatpally,1000,2,1,3000000
2023-10-01,Madhapur,1200,2,2,5250000
2023-10-01,Gachibowli,1500,3,2,5850000
2023-10-01,Jubilee Hills,2000,4,3,13100000
2023-10-01,Kukatpally,1000,2,1,3050000
2023-11-01,Madhapur,1200,2,2,5300000
2023-11-01,Gachibowli,1500,3,2,5900000
2023-11-01,Jubilee Hills,2000,4,3,13200000
2023-11-01,Kukatpally,1000,2,1,3100000
2023-12-01,Madhapur,1200,2,2,5350000
2023-12-01,Gachibowli,1500,3,2,5950000
2023-12-01,Jubilee Hills,2000,4,3,13300000
2023-12-01,Kukatpally,1000,2,1,3150000
2024-01-01,Madhapur,1200,2,2,5400000
2024-01-01,Gachibowli,1500,3,2,6000000
2024-01-01,Jubilee Hills,2000,4,3,13400000
2024-01-01,Kukatpally,1000,2,1,3200000
2024-02-01,Madhapur,1200,2,2,5450000
2024-02-01,Gachibowli,1500,3,2,6050000
2024-02-01,Jubilee Hills,2000,4,3,13500000
2024-02-01,Kukatpally,1000,2,1,3250000
2024-03-01,Madhapur,1200,2,2,5500000
2024-03-01,Gachibowli,1500,3,2,6100000
2024-03-01,Jubilee Hills,2000,4,3,13600000
2024-03-01,Kukatpally,1000,2,1,3300000
2024-04-01,Madhapur,1200,2,2,5550000
2024-04-01,Gachibowli,1500,3,2,6150000
2024-04-01,Jubilee Hills,2000,4,3,13700000
2024-04-01,Kukatpally,1000,2,1,3350000
2024-05-01,Madhapur,1200,2,2,5600000
2024-05-01,Gachibowli,1500,3,2,6200000
2024-05-01,Jubilee Hills,2000,4,3,13800000
2024-05-01,Kukatpally,1000,2,1,3400000
2024-06-01,Madhapur,1200,2,2,5650000
2024-06-01,Gachibowli,1500,3,2,6250000
2024-06-01,Jubilee Hills,2000,4,3,13900000
2024-06-01,Kukatpally,1000,2,1,3450000
