location,total_sqft,bhk,bath,price
Jubilee Hills,1912,1,2,20618173
Gachibowli,1072,2,3,3928734
Madhapur,2048,3,3,10647762
Kukatpally,1105,1,1,2377771
Kondapur,1007,3,2,2487873
Hitech City,1023,2,2,5742349
Financial District,2474,3,3,16539974
Kondapur,1668,3,3,6487229
Madhapur,2053,4,4,6534024
Madhapur,742,2,2,3635261
Gachibowli,1244,2,2,4399426
Financial District,750,2,2,5901977
Financial District,1580,4,4,12706545
Jubilee Hills,1220,3,3,15729977
Kukatpally,1191,2,2,2037186
Manikonda,1272,2,2,4134433
Kondapur,1036,4,4,3879082
Miyapur,1472,2,1,3145492
Miyapur,1035,5,5,2661847
Banjara Hills,1964,3,3,20737908
Miyapur,623,4,4,1453617
Kondapur,1195,1,1,3723317
Jubilee Hills,1329,3,4,19967758
Miyapur,1445,2,1,3897524
Manikonda,1011,1,2,2931027
Madhapur,1073,4,4,5160789
Banjara Hills,912,4,4,8038965
Financial District,1079,3,2,7116989
Manikonda,1329,3,3,3259670
Miyapur,621,4,4,1216384
Hitech City,600,1,2,3596551
Jubilee Hills,1537,1,1,15498245
Madhapur,1027,3,3,5912159
Kondapur,2075,2,1,6567215
Financial District,659,2,2,3985200
Banjara Hills,600,4,4,5756868
Kukatpally,1496,3,4,3071579
Gachibowli,707,3,3,2749654
Gachibowli,600,5,6,2728587
Madhapur,600,2,1,2334976
Hitech City,1336,3,4,9461842
Kondapur,1019,3,2,4014962
Kukatpally,851,4,4,1286017
Gachibowli,868,3,3,3134531
Hitech City,992,4,5,6191896
Miyapur,974,3,3,3014922
Gachibowli,1281,3,3,4879120
Kukatpally,1092,3,3,2032457
Kondapur,1962,4,4,7305691
Madhapur,600,3,4,2677503
Jubilee Hills,740,3,3,8086287
Miyapur,2136,3,3,3995320
Banjara Hills,994,4,4,7611717
Gachibowli,653,4,4,2657970
Financial District,1157,2,2,6451449
Financial District,1159,4,4,7699207
Manikonda,1155,4,4,3126993
Banjara Hills,981,3,3,7283309
Kondapur,1912,1,1,7144970
Kukatpally,1430,3,3,2515657
Gachibowli,1809,2,2,4319356
Jubilee Hills,1303,4,3,12617376
Miyapur,1287,3,3,3277373
Gachibowli,1230,3,3,4051850
Madhapur,600,2,3,3132319
Gachibowli,1195,2,3,3408703
Jubilee Hills,939,2,2,10452924
Manikonda,600,5,4,1852529
Gachibowli,1518,1,2,5866855
Manikonda,1526,3,3,4637080
Financial District,1573,2,2,9196770
Kukatpally,1456,3,3,2147469
Hitech City,744,3,3,4258304
Madhapur,900,3,3,2753160
Gachibowli,1602,2,2,5533335
Madhapur,1171,3,3,4461506
Madhapur,1380,3,4,6812694
Miyapur,996,4,4,1816612
Manikonda,1412,4,5,4368935
Jubilee Hills,1417,3,3,19649121
Financial District,1680,3,3,10412297
Kukatpally,1483,3,3,3317152
Madhapur,1104,3,4,5583038
Kukatpally,600,2,2,1224591
Financial District,1335,3,3,8264601
Kondapur,1531,4,3,6347604
Banjara Hills,1803,4,4,17405511
Hitech City,600,3,3,3634525
Manikonda,1029,3,3,2642452
Kukatpally,1365,2,2,2939585
Financial District,728,3,3,4319771
Financial District,1272,3,2,11726153
Banjara Hills,958,1,1,10430423
Manikonda,1068,2,1,2780206
Kondapur,2215,2,1,8602549
Miyapur,1446,3,2,2933736
Banjara Hills,1529,2,2,14069388
Gachibowli,1264,1,2,5335975
Hitech City,1197,3,4,5282305
Madhapur,912,2,2,4665133
Madhapur,1092,1,2,4100048
Madhapur,775,2,2,2906033
Manikonda,1154,2,1,3306521
Manikonda,600,3,3,1856637
Hitech City,600,3,2,2685883
Madhapur,972,4,4,4232628
Kukatpally,755,1,1,1603419
Gachibowli,1097,3,3,4784956
Kondapur,1239,2,2,4374950
Manikonda,1103,3,4,2917059
Banjara Hills,600,1,1,4722463
Madhapur,1330,3,4,4863469
Jubilee Hills,703,2,2,7407254
Banjara Hills,687,3,3,7906788
Kukatpally,1588,4,4,2656670
Kukatpally,1880,3,3,3200921
Miyapur,1268,5,5,2762688
Gachibowli,600,3,3,2455744
Financial District,975,2,2,6741417
Hitech City,837,3,3,5188892
Financial District,1136,2,2,8410345
Gachibowli,1407,1,1,4739698
Financial District,1529,3,3,9907732
Hitech City,2032,4,4,10668206
Madhapur,1319,2,3,4404897
Madhapur,2224,2,2,9863944
Jubilee Hills,692,3,3,6656019
Manikonda,600,4,4,1579103
Kukatpally,1448,2,1,1860601
Madhapur,672,3,4,2922509
Manikonda,1713,3,3,5294646
Manikonda,1171,2,3,2463869
Financial District,1527,1,1,10283193
Miyapur,1122,3,3,2457152
Banjara Hills,1013,4,3,10452581
Manikonda,1026,1,1,2740109
Manikonda,600,3,4,1356396
Banjara Hills,939,3,4,9890511
Financial District,1112,3,4,8441273
Kondapur,1024,4,3,3033167
