date,location,total_sqft,bhk,bath,price
2023-09-21,Kukatpally,2200,4,4,14735626
2023-10-05,Jubilee Hills,3000,4,4,81711067
2023-10-12,Madhapur,2800,4,4,31443510
2023-09-28,Gachibowli,2700,4,4,31882224
2023-10-19,Kukatpally,2600,4,4,18227737
2023-11-02,Jubilee Hills,600,1,1,16260281
2023-11-09,Madhapur,800,1,1,9615162
2023-10-26,Gachibowli,700,1,1,7775044
2023-11-16,Kukatpally,650,1,1,4653823
2023-12-07,Jubilee Hills,1200,2,2,32521583
2023-12-14,Madhapur,1200,2,2,15293821
2023-11-30,Gachibowli,1100,2,2,11236092
2023-12-21,Kukatpally,1000,2,2,6787572
2024-01-04,Jubilee Hills,1800,3,3,49098227
2024-01-11,Madhapur,1700,3,3,19851677
2023-12-28,Gachibowli,1600,3,3,16699786
2024-01-18,Kukatpally,1500,3,3,10533060
2024-02-01,Jubilee Hills,2500,4,4,73817728
2024-02-08,Madhapur,2400,4,4,30165210
2024-01-25,Gachibowli,2300,4,4,25330885
2024-02-15,Kukatpally,2200,4,4,14766211
2024-03-07,Jubilee Hills,3000,4,4,89796652
2024-03-14,Madhapur,2800,4,4,34890776
2024-02-29,Gachibowli,2700,4,4,29717564
2024-03-21,Kukatpally,2600,4,4,18578749
2024-04-04,Jubilee Hills,600,1,1,15569753
2024-04-11,Madhapur,800,1,1,9317054
2024-03-28,Gachibowli,700,1,1,7111049
2024-04-18,Kukatpally,650,1,1,4903100
2024-05-02,Jubilee Hills,1200,2,2,31681195
2024-05-09,Madhapur,1200,2,2,13731557
2024-04-25,Gachibowli,1100,2,2,11746136
2024-05-16,Kukatpally,1000,2,2,6577907
2024-06-06,Jubilee Hills,1800,3,3,51184074
2024-06-13,Madhapur,1700,3,3,20354837
2024-05-30,Gachibowli,1600,3,3,19216733
2024-06-20,Kukatpally,1500,3,3,10700061
