date,location,total_sqft,bhk,bath,price
2023-01-12,Hitech City,1400,2,2,5700000
2022-12-29,Kondapur,1300,2,2,4800000
2023-01-19,Financial District,1600,3,2,6700000
2023-02-02,Manikonda,1100,2,1,4000000
2023-02-09,Miyapur,1000,2,1,3400000
2023-01-26,Secunderabad,1200,2,2,4300000
2023-02-16,Begumpet,1300,2,2,4600000
2023-03-02,SR Nagar,1000,2,1,3200000
2023-03-09,Ameerpet,900,2,1,3000000
2023-02-23,Panjagutta,1000,2,1,3300000
2023-03-16,Nampally,1100,2,1,3500000
2023-04-06,Madhapur,1200,2,2,4450000
2023-04-13,Gachibowli,1500,3,2,5050000
2023-03-30,Jubilee Hills,2000,4,3,11500000
2023-04-20,Kukatpally,1000,2,1,2250000
2023-04-06,Banjara Hills,1800,3,2,8750000
2023-04-13,Hitech City,1400,2,2,5750000
2023-03-30,Kondapur,1300,2,2,4850000
2023-04-20,Financial District,1600,3,2,6750000
2023-05-04,Manikonda,1100,2,1,4050000
2023-05-11,Miyapur,1000,2,1,3450000
2023-04-27,Secunderabad,1200,2,2,4350000
2023-05-18,Begumpet,1300,2,2,4650000
2023-06-01,SR Nagar,1000,2,1,3250000
2023-06-08,Ameerpet,900,2,1,3050000
2023-05-25,Panjagutta,1000,2,1,3350000
2023-06-15,Nampally,1100,2,1,3550000
2023-07-06,Madhapur,1200,2,2,4500000
2023-07-13,Gachibowli,1500,3,2,5100000
2023-06-29,Jubilee Hills,2000,4,3,11600000
2023-07-20,Kukatpally,1000,2,1,2300000
2023-07-06,Banjara Hills,1800,3,2,8800000
2023-07-13,Hitech City,1400,2,2,5800000
2023-06-29,Kondapur,1300,2,2,4900000
2023-07-20,Financial District,1600,3,2,6800000
2023-08-03,Manikonda,1100,2,1,4100000
2023-08-10,Miyapur,1000,2,1,3500000
2023-07-27,Secunderabad,1200,2,2,4400000
2023-08-17,Begumpet,1300,2,2,4700000
2023-09-07,SR Nagar,1000,2,1,3300000
2023-09-14,Ameerpet,900,2,1,3100000
2023-08-31,Panjagutta,1000,2,1,3400000
2023-09-21,Nampally,1100,2,1,3600000
2023-10-05,Madhapur,1200,2,2,4550000
2023-10-12,Gachibowli,1500,3,2,5150000
2023-09-28,Jubilee Hills,2000,4,3,11700000
2023-10-19,Kukatpally,1000,2,1,2350000
2023-10-05,Banjara Hills,1800,3,2,8850000
2023-10-12,Hitech City,1400,2,2,5850000
2023-09-28,Kondapur,1300,2,2,4950000
2023-10-19,Financial District,1600,3,2,6850000
2023-11-02,Manikonda,1100,2,1,4150000
2023-11-09,Miyapur,1000,2,1,3550000
2023-10-26,Secunderabad,1200,2,2,4450000
2023-11-16,Begumpet,1300,2,2,4750000
2023-12-07,SR Nagar,1000,2,1,3350000
2023-12-14,Ameerpet,900,2,1,3150000
2023-11-30,Panjagutta,1000,2,1,3450000
2023-12-21,Nampally,1100,2,1,3650000
2024-01-04,Madhapur,1200,2,2,4600000
2024-01-11,Gachibowli,1500,3,2,5200000
2023-12-28,Jubilee Hills,2000,4,3,11800000
2024-01-18,Kukatpally,1000,2,1,2400000
2024-01-04,Banjara Hills,1800,3,2,8900000
2024-01-11,Hitech City,1400,2,2,5900000
2023-12-28,Kondapur,1300,2,2,5000000
2024-01-18,Financial District,1600,3,2,6900000
2024-02-01,Manikonda,1100,2,1,4200000
2024-02-08,Miyapur,1000,2,1,3600000
2024-01-25,Secunderabad,1200,2,2,4500000
2024-02-15,Begumpet,1300,2,2,4800000
2024-03-07,SR Nagar,1000,2,1,3400000
2024-03-14,Ameerpet,900,2,1,3200000
2024-02-29,Panjagutta,1000,2,1,3500000
2024-03-21,Nampally,1100,2,1,3700000
2024-04-04,Madhapur,1200,2,2,4650000
2024-04-11,Gachibowli,1500,3,2,5250000
2024-03-28,Jubilee Hills,2000,4,3,11900000
2024-04-18,Kukatpally,1000,2,1,2450000
2024-04-04,Banjara Hills,1800,3,2,8950000
2024-04-11,Hitech City,1400,2,2,5950000
2024-03-28,Kondapur,1300,2,2,5050000
2024-04-18,Financial District,1600,3,2,6950000
2024-05-02,Manikonda,1100,2,1,4250000
2024-05-09,Miyapur,1000,2,1,3650000
2024-04-25,Secunderabad,1200,2,2,4550000
2024-05-16,Begumpet,1300,2,2,4850000
2024-06-06,SR Nagar,1000,2,1,3450000
2024-06-13,Ameerpet,900,2,1,3250000
2024-05-30,Panjagutta,1000,2,1,3550000
2024-06-20,Nampally,1100,2,1,3750000
