date,location,total_sqft,bhk,bath,price
2023-05-18,Kukatpally,1000,2,1,2800000
2023-06-01,Madhapur,1200,2,2,5050000
2023-06-08,Gachibowli,1500,3,2,5650000
2023-05-25,Jubilee Hills,2000,4,3,12700000
2023-06-15,Kukatpally,1000,2,1,2850000
2023-07-06,Madhapur,1200,2,2,5100000
2023-07-13,Gachibowli,1500,3,2,5700000
2023-06-29,Jubilee Hills,2000,4,3,12800000
2023-07-20,Kukatpally,1000,2,1,2900000
2023-08-03,Madhapur,1200,2,2,5150000
2023-08-10,Gachibowli,1500,3,2,5750000
2023-07-27,Jubilee Hills,2000,4,3,12900000
2023-08-17,Kukatpally,1000,2,1,2950000
2023-09-07,Madhapur,1200,2,2,5200000
2023-09-14,Gachibowli,1500,3,2,5800000
2023-08-31,Jubilee Hills,2000,4,3,13000000
2023-09-21,Kukatpally,1000,2,1,3000000
2023-10-05,Madhapur,1200,2,2,5250000
2023-10-12,Gachibowli,1500,3,2,5850000
2023-09-28,Jubilee Hills,2000,4,3,13100000
2023-10-19,Kukatpally,1000,2,1,3050000
2023-11-02,Madhapur,1200,2,2,5300000
2023-11-09,Gachibowli,1500,3,2,5900000
2023-10-26,Jubilee Hills,2000,4,3,13200000
2023-11-16,Kukatpally,1000,2,1,3100000
2023-12-07,Madhapur,1200,2,2,5350000
2023-12-14,Gachibowli,1500,3,2,5950000
2023-11-30,Jubilee Hills,2000,4,3,13300000
2023-12-21,Kukatpally,1000,2,1,3150000
2024-01-04,Madhapur,1200,2,2,5400000
2024-01-11,Gachibowli,1500,3,2,6000000
2023-12-28,Jubilee Hills,2000,4,3,13400000
2024-01-18,Kukatpally,1000,2,1,3200000
2024-02-01,Madhapur,1200,2,2,5450000
2024-02-08,Gachibowli,1500,3,2,6050000
2024-01-25,Jubilee Hills,2000,4,3,13500000
2024-02-15,Kukatpally,1000,2,1,3250000
2024-03-07,Madhapur,1200,2,2,5500000
2024-03-14,Gachibowli,1500,3,2,6100000
2024-02-29,Jubilee Hills,2000,4,3,13600000
2024-03-21,Kukatpally,1000,2,1,3300000
2024-04-04,Madhapur,1200,2,2,5550000
2024-04-11,Gachibowli,1500,3,2,6150000
2024-03-28,Jubilee Hills,2000,4,3,13700000
2024-04-18,Kukatpally,1000,2,1,3350000
2024-05-02,Madhapur,1200,2,2,5600000
2024-05-09,Gachibowli,1500,3,2,6200000
2024-04-25,Jubilee Hills,2000,4,3,13800000
2024-05-16,Kukatpally,1000,2,1,3400000
2024-06-06,Madhapur,1200,2,2,5650000
2024-06-13,Gachibowli,1500,3,2,6250000
2024-05-30,Jubilee Hills,2000,4,3,13900000
2024-06-20,Kukatpally,1000,2,1,3450000
